SC_CODE,SC_NAME,SC_GROUP,SC_TYPE,OPEN,HIGH,LOW,CLOSE,LAST,PREVCLOSE,NO_TRADES,NO_OF_SHRS,NET_TURNOV,TDCLOINDI
500002,ABB LTD.    ,A ,Q,1565.00,1611.70,1554.30,1591.85,1591.85,1571.00,590,6606,10501323.00,
500003,AEGIS LOGIS ,A ,Q,224.00,226.00,216.70,220.25,220.00,225.85,419,7171,1596035.00,
500008,AMAR RAJA BA,A ,Q,635.05,642.40,630.00,637.30,640.00,634.25,346,8554,5456439.00,
500009,A.SARABHAI  ,X ,Q,14.67,15.00,14.20,14.23,14.30,14.43,80,22622,325741.00,
500010,HDFC        ,A ,Q,2194.00,2231.50,2189.90,2227.45,2231.00,2182.20,3524,82391,182716331.00,
500012,ANDHRA PETRO,X ,Q,57.80,58.20,55.95,56.15,56.15,57.75,266,47447,2683037.00,
500013,ANSAL INFRAS,B ,Q,8.52,8.66,8.35,8.48,8.46,8.60,53,9502,80533.00,
500014,APPLE FINANC,XT,Q,1.54,1.61,1.54,1.61,1.61,1.54,13,1657,2591.00,
500020,BOM DYEING  ,A ,Q,127.65,127.75,123.00,125.40,125.40,127.40,2023,188184,23495084.00,
500024,ASSAMCO     ,T ,Q,1.54,1.54,1.54,1.54,1.54,1.62,48,85660,131916.00,
500027,ATUL LTD.   ,A ,Q,4040.00,4090.00,3964.10,3998.30,3996.20,4047.05,512,2670,10667534.00,
500028,ATV PROJECTS,XT,Q,4.34,4.35,4.34,4.34,4.34,4.56,7,1426,6193.00,
500029,AUTOLITE(I) ,Z ,Q,28.65,31.25,28.65,28.75,28.65,30.15,18,2964,86152.00,
500030,AUTORID.FIN ,T ,Q,0.47,0.47,0.47,0.47,0.47,0.49,1,150,70.00,
500031,BAJAJ ELECT.,A ,Q,541.20,550.30,535.80,539.10,538.00,538.65,705,14071,7620990.00,
500032,BAJAJHIND   ,B ,Q,9.00,9.15,8.91,8.96,8.91,8.94,202,207683,1871623.00,
500033,FORCE MOTR  ,A ,Q,1540.00,1570.00,1525.00,1553.00,1553.00,1554.55,880,9713,15063175.00,
500034,BAJFINANCE  ,A ,Q,3465.00,3529.95,3465.00,3510.75,3519.00,3469.70,6588,85822,301150390.00,
500038,BALRAM.CHINI,A ,Q,154.80,157.50,153.40,156.45,156.45,153.95,987,98893,15470847.00,
500039,BANCO PROD. ,B ,Q,139.00,142.00,134.65,140.30,140.30,140.35,81,2052,285204.00,
500040,CENTURY TEXT,A ,Q,1027.00,1066.55,1019.00,1057.15,1057.15,1023.40,1115,37712,39510062.00,
500041,BANNARI AMAN,B ,Q,1449.00,1509.00,1404.05,1465.15,1465.00,1481.35,9,22,32199.00,
500042,BASF INDIA  ,A ,Q,1372.00,1389.50,1365.00,1380.05,1371.25,1383.55,101,491,676122.00,
500043,BATA INDIA  ,A ,Q,1325.25,1371.55,1316.20,1362.80,1362.80,1323.65,2336,83727,113168998.00,
500048,BEML LTD    ,A ,Q,977.00,1005.00,964.40,1000.55,1000.55,974.25,2255,98510,97290324.00,
500049,BHARAT ELECT,A ,Q,111.50,112.70,110.65,111.35,111.35,111.55,2510,543480,60563903.00,
500052,BHANSALI ENG,B ,Q,70.05,74.40,70.05,73.90,73.90,70.70,1213,152817,11119519.00,
500055,TATASTLBSL  ,B ,Q,30.60,31.15,30.15,30.80,30.80,30.40,355,93489,2877428.00,
500058,BIHAR SPONGE,XT,Q,0.95,1.03,0.95,0.95,0.95,0.99,11,1961,1902.00,
500059,BINANI IND. ,Z ,Q,27.75,28.05,26.40,28.00,28.00,27.75,74,8913,242607.00,
500060,BIRLACABLE  ,B ,Q,113.95,115.95,112.05,113.25,112.05,113.05,256,12460,1420818.00,
500067,BLUE STAR   ,A ,Q,807.00,812.00,798.00,800.40,798.00,806.30,308,2628,2115434.00,
